"","X","Site_Name","Site_ID","Section","Month","Type","Date","Interaction_recorded..Y.N.","SpecimenCaught","UniqueID","EntryOrder","Day","Month.1","Year","Week","SampleDate","Surveyor","HabitatType","Survey","Site","HabitatType.Survey.Site","ITMx","ITMy","WGS84.ETRS89","WGS84.ETRS89.1","PlantSpecies","FlowerVisitorSpecies","Pollinator_caught","VisitorGroup","Genus","Sex","VisitationFrequency","FlowerAbundancePerPlantSpecies","MaxFlowerSize.mm.","FloralArea","Introduced.","Visitation.Rate","FlowerAbundanceTotal","TransectTime.mins.","AreaSampledm2","Rate","Groups.of.flower.visitors.registered..All.species..Only.bees..Bees.and.hoverflies..Bees.and.flies..etc.","InsectActivityRecorded..Feeding.or.Both.Feeding.and.F.lying","Site_Section","Site_Section_Month","gradient","gradienttype","groupfactor"
"1",1,"North.Strand",3,"Industrial","May","Urban","4.5.18","N",NA,NA,1,4,5,18,1,"4.5.18","Cian White","BL3",1,"NS","BL3NS",716998,735668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,500,62.5,"Bees and flies","Feeding","North.StrandIndustrial","North.StrandIndustrialMay","High","Urban High",NA
"2",2,"North.Strand",3,"Railway","May","Urban","4.5.18","Y","Y",20180001,3,4,5,18,1,"4.5.18","Cian White","BL1",1,"NS","BL1NS",716998,735668,NA,NA,"Taraxacum.agg","Syrphus.ribesii","Y","Syrphid","Syrphus","M",1,4,50,200,"N",0.005,612,7,88,12.57142857,"Bees and flies","Feeding","North.StrandRailway","North.StrandRailwayMay","High","Urban High",NA
"3",3,"North.Strand",3,"Continuous.Urban.Fabric","May","Urban","4.5.18","N",NA,NA,4,4,5,18,1,"4.5.18","Cian White","BL3",1,"NS","BL3NS",716998,735668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,426,53.25,"Bees and flies","Feeding","North.StrandContinuous.Urban.Fabric","North.StrandContinuous.Urban.FabricMay","High","Urban High",NA
"4",4,"North.Strand",3,"Dis.Dense","May","Urban","4.5.18","N",NA,NA,5,4,5,18,1,"4.5.18","Cian White","BL3",1,"NS","BL3NS",716998,735668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,500,45.45454545,"Bees and flies","Feeding","North.StrandDis.Dense","North.StrandDis.DenseMay","High","Urban High",NA
"5",5,"North.Strand",3,"Sports","May","Urban","4.5.18","N",NA,NA,6,4,5,18,1,"4.5.18","Cian White","GA2",1,"NS","GA2NS",716998,735668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,130,32.5,"Bees and flies","Feeding","North.StrandSports","North.StrandSportsMay","High","Urban High",NA
"6",6,"North.Strand",3,"Green.Urban","May","Urban","4.5.18","Y","N",NA,8,4,5,18,1,"4.5.18","Cian White","BC4",1,"NS","BC4NS",716998,735668,NA,NA,"Symphytum.×uplandicum","Bombus.pascorum","O","Bumble.Bee","Bombus","F",1,408,30,12240,"I",8.17e-05,NA,5,120,24,"Bees and flies","Feeding","North.StrandGreen.Urban","North.StrandGreen.UrbanMay","High","Urban High","bees"
"7",7,"North.Strand",3,"Green.Urban","May","Urban","4.5.18","Y","N",NA,9,4,5,18,1,"4.5.18","Cian White","BC4",1,"NS","BC4NS",716998,735668,NA,NA,"Taraxacum.agg","Apis.mellifera","O","Honey.Bee","Apis","F",1,1,50,50,"N",0.02,NA,5,120,24,"Bees and flies","Feeding","North.StrandGreen.Urban","North.StrandGreen.UrbanMay","High","Urban High","bees"
"8",8,"North.Strand",3,"Other.Roads","May","Urban","4.5.18","N",NA,NA,10,4,5,18,1,"4.5.18","Cian White","BC4",1,"NS","BC4NS",716998,735668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,238,26.44444444,"Bees and flies","Feeding","North.StrandOther.Roads","North.StrandOther.RoadsMay","High","Urban High",NA
"9",9,"Killester",5,"Other.Roads","May","Urban","4.5.18","N",NA,NA,11,4,5,18,1,"4.5.18","Cian White","WS3",1,"Kr","WS3Kr",720360,737971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,180,22.5,"Bees and flies","Feeding","KillesterOther.Roads","KillesterOther.RoadsMay","Medium","Urban Medium",NA
"10",10,"Killester",5,"Dis.Medium","May","Urban","4.5.18","Y","Y",20180002,12,4,5,18,1,"4.5.18","Cian White","WS3",1,"Kr","WS3Kr",720360,737971,NA,NA,"Taraxacum.agg","Platycheirus.albimanus","Y","Syrphid","Platycheirus","F",1,30,50,1500,"N",0.000666667,NA,7,358,51.14285714,"Bees and flies","Feeding","KillesterDis.Medium","KillesterDis.MediumMay","Medium","Urban Medium",NA
